,condition,created_at,id,max_quantity,merchant_return_insurance,min_quantity,name,price,rush_delivery,sku_id,state,stock,weight,category_url,rating_average_rate,rating_user_count,sla_type,sla_value,specs_brand,stats_interest_count,stats_sold_count,stats_view_count,stats_waiting_payment_count,store_address_city,store_address_province,store_brand_seller,store_delivery_time,store_id,store_description,store_level_name,store_name,store_premium_level,store_premium_top_seller,store_rejection_recent_transactions,store_rejection_rejected,store_reviews_negative,store_reviews_positive,store_sla_type,store_sla_value,store_subscriber_amount,store_url,warranty_cheapest,deal_applied_date,deal_discount_price,deal_expired_date,deal_original_price,deal_percentage,url,timestamp
236,Baru,2020-11-02 13:15:07.000000,3wx0wss,2147483647,False,1,KITODERM SUNSCREEN ACNE KITODERM SUNSCREEN ACNE N4 SUNBLOK KULIT BERJERAWAT,23600,False,8567247826,available,1459,100,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,200,,0,,0,4405,0,0.0,Solo,Jawa Tengah,False,16 jam,71310202,,Recommended Seller,bellaskinbeauty,platinum,True,100,0,69,24869,normal,2,110,https://www.bukalapak.com/u/bellaskinbeauty,False,2021-12-26 17:00:00.000000,23600,2031-12-24 17:00:00.000000,24544,4,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/3wx0wss-jual-kitoderm-sunscreen-acne-kitoderm-sunscreen-acne-n4-sunblok-kulit-berjerawat,2021-12-27 17:35:38.413312
237,Baru,2021-10-18 02:40:00.000000,4gntqoj,2147483647,False,1,Inhaler tabung kasa inhaler - nasal inhaler pelega pernapasan aromatherapy essential oils,7990,False,9793037707,available,982,500,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/suplemen-wajah-wanita,4.9,200,,0,,0,4404,0,0.0,Jambi,Jambi,False,1-2 hari,9323365,Halo kak.. selamat datang di @DomHayOils,Good Seller,DomHayOils,platinum,True,100,6,15,8873,normal,2,29,https://www.bukalapak.com/u/ira_tj,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/suplemen-wajah-wanita/4gntqoj-jual-inhaler-tabung-kasa-inhaler-nasal-inhaler-pelega-pernapasan-aromatherapy-essential-oils,2021-12-27 17:35:38.413312
238,Baru,2021-03-31 03:05:03.000000,4ecffi4,2147483647,False,1,Wardah White Secret Pure Treatment Essence 50ml KECIL,127700,False,9635998123,available,975,65,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,199,,0,,0,4366,0,0.0,Karawang,Jawa Barat,False,1-2 hari,47396727,Selamat Belanja Di Nabil Star Shop.. Kepuasan pembeli adalah Prioritas utama Kami... Dapatkan hadiah / Bonus setiap pembelian min.150.000/inv Selama bulan Ramadhan.,Top Seller,NabiL StaR,platinum,False,100,30,0,119905,normal,2,229,https://www.bukalapak.com/u/prapto_r_to_r,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/4ecffi4-jual-wardah-white-secret-pure-treatment-essence-50ml-kecil,2021-12-27 17:35:38.413312
239,Baru,2021-03-31 03:04:00.000000,4ecfd34,2147483647,False,1,PIXY EYE & LIP MAKEUP REMOVER 60ml,47700,False,9635994826,available,845,75,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita,5.0,200,,0,,0,4350,0,0.0,Karawang,Jawa Barat,False,1-2 hari,47396727,Selamat Belanja Di Nabil Star Shop.. Kepuasan pembeli adalah Prioritas utama Kami... Dapatkan hadiah / Bonus setiap pembelian min.150.000/inv Selama bulan Ramadhan.,Top Seller,NabiL StaR,platinum,False,100,30,0,119905,normal,2,229,https://www.bukalapak.com/u/prapto_r_to_r,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita/4ecfd34-jual-pixy-eye-lip-makeup-remover-60ml,2021-12-27 17:35:38.413312
240,Baru,2021-03-31 03:03:28.000000,4ecfbxp,2147483647,False,1,Wardah Perfect Bright Moisturizer Normal Skin 20ml,44700,False,9635993341,available,1154,35,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita,5.0,200,,0,,1,4334,0,0.0,Karawang,Jawa Barat,False,1-2 hari,47396727,Selamat Belanja Di Nabil Star Shop.. Kepuasan pembeli adalah Prioritas utama Kami... Dapatkan hadiah / Bonus setiap pembelian min.150.000/inv Selama bulan Ramadhan.,Top Seller,NabiL StaR,platinum,False,100,30,0,119905,normal,2,229,https://www.bukalapak.com/u/prapto_r_to_r,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita/4ecfbxp-jual-wardah-perfect-bright-moisturizer-normal-skin-20ml,2021-12-27 17:35:38.413312
241,Baru,2020-12-15 06:29:12.000000,43gjcxy,2147483647,False,1,theraskin suncare oily mild,17100,False,8967782826,available,831,100,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,99,,0,,0,4326,0,0.0,Tangerang,Banten,False,1-2 hari,17533991,Distributor produk-produk kecantikan.,Recommended Seller,Toko Cantik,platinum,False,100,11,6,12029,normal,2,31,https://www.bukalapak.com/u/distributorcantik,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/43gjcxy-jual-theraskin-suncare-oily-mild,2021-12-27 17:35:38.413312
242,Baru,2021-01-14 09:26:31.000000,47ylwz8,2147483647,False,1,LION JAPAN PAIR Acne Cream W 24g Antibacterial Acne Face Cream,154500,False,9243101046,available,8890,80,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,214,,0,,8,4312,0,1.0,Jakarta Selatan,DKI Jakarta,False,1-2 hari,533725896,"NANA MALL, pilihan toko kecantikan para wanita di tahun 2018. Semua produk yang di sini dipilih sendiri dan telah diuji oleh spesialis kecantikan kami yang berpengalaman.

100% produk asli
1000+ produk kecantikan dengan harga paling kompetitif
100+ brand diimpor dari seluruh belahan dunia",Good Seller,NANA MALL,platinum,False,100,8,12,8780,custom,3,120,https://www.bukalapak.com/u/nanamallid,False,2021-01-26 17:00:00.000000,154500,2023-01-18 16:59:59.000000,228000,32,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/47ylwz8-jual-lion-japan-pair-acne-cream-w-24g-antibacterial-acne-face-cream,2021-12-27 17:35:38.413312
243,Baru,2021-05-03 06:33:30.000000,4f7gwq1,2147483647,False,1,Emina ms. pimple Acne Solution Face Wash 50ml,32700,False,9690077932,available,343,75,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita,4.9,200,,0,,0,4265,0,0.0,Karawang,Jawa Barat,False,1-2 hari,47396727,Selamat Belanja Di Nabil Star Shop.. Kepuasan pembeli adalah Prioritas utama Kami... Dapatkan hadiah / Bonus setiap pembelian min.150.000/inv Selama bulan Ramadhan.,Top Seller,NabiL StaR,platinum,False,100,30,0,119905,normal,2,229,https://www.bukalapak.com/u/prapto_r_to_r,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita/4f7gwq1-jual-emina-ms-pimple-acne-solution-face-wash-50ml,2021-12-27 17:35:38.413312
244,Baru,2020-11-19 10:46:50.000000,3zflidj,2147483647,False,1,ERTO S Astaxanthine,100000,False,8721866384,available,42,100,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita,4.9,209,,0,,4,4249,0,0.0,Jakarta Timur,DKI Jakarta,True,1-2 hari,526806989,"ERTO`S Official ERTOS Official adalah akun resmi dari Ertos di platform Bukalapak. Spesialis di skin care, terdaftar BPOM dan bersertifikat Halal MUI. Pengiriman Cepat Free Konsultasi Retur dg Bukti Video Ketika Unboxing Hasil Yg Nyata",Good Seller,Erto's Official,platinum,True,100,0,1,8873,normal,2,150,https://www.bukalapak.com/u/ertosofficialshop,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita/3zflidj-jual-erto-s-astaxanthine,2021-12-27 17:35:38.413312
245,Baru,2017-10-23 21:23:30.000000,bvibkb,2147483647,False,1,BLACK WALET FACIAL SOAP - SABUN WALET HITAM ORIGINAL BPOM,8250,False,711137502,available,7445,85,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita,4.6,280,,0,,283,4239,0,33.0,Jakarta Timur,DKI Jakarta,False,1-2 hari,8693698,"NEED SHOP  adalah sebuah toko yang menjual aneka produk secara retail maupun grosir. Barang yang kami jual beraneka macam, dimana produk unggulan kami adalah kosmetik.
Jam operasional toko:
Senin - Jumat Last Order 15.00 WIB
Sabtu Last Order 14.30 WIB",Recommended Seller,need shop,platinum,True,100,0,1596,39159,normal,2,3004,https://www.bukalapak.com/u/need_shop,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita/bvibkb-jual-black-walet-facial-soap-sabun-walet-hitam-original-bpom,2021-12-27 17:35:38.413312
